[2025-04-10 07:27:58,173: INFO: main: Starting the text summarizer application...]
[2025-04-10 11:34:06,726: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:34:06,729: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:36:55,508: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:36:55,510: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:38:46,641: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:38:46,646: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:39:28,200: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:39:28,201: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:49:29,125: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:49:29,130: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:50:36,479: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:50:36,599: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:50:36,599: INFO: common: created directory at: path/to/your/artifacts]
[2025-04-10 11:50:36,615: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-10 11:52:19,168: ERROR: common: An unexpected error occurred while reading or parsing YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml']
[2025-04-10 11:53:26,073: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 11:53:26,077: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 11:53:26,079: INFO: common: created directory at: path/to/your/artifacts]
[2025-04-10 11:53:26,081: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-10 11:53:29,094: INFO: 227420655: File is downloaded]
